elem,allapot,bizonyitek,megjegyzes
thumbui/scratchhold,megvan,PicasaPy/TrayBar.qml,"A képtálca „Hold” gombja (trayHold)"
thumbui/scratchclear,megvan,PicasaPy/TrayBar.qml,"A képtálca „Clear” gombja (trayClear)"
thumbui/newalbum,megvan,PicasaPy/FolderPane.qml;PicasaPy/AlbumsSection.qml,"Új album létrehozása a bal hasábról"
thumbui/newfolder,megvan,PicasaPy/PicasaMenuBar.qml;PicasaPy/FileOpsDialogs.qml,"„Áthelyezés új mappába…” a Fájl menüben"
editpanel/croptext,megvan,PicasaPy/EditorCropPanel.qml,"Vágás-útmutató: „Choose a size below, then drag on the picture to…” (56. sor) — az eredeti „Select a dimension below and then click and drag…” szövegével egyező tartalom, más megfogalmazásban"
editpanel/crop_aspect_menu,megvan,PicasaPy/EditorCropPanel.qml,"Képarány-választó: cropAspectCombo (81. sor) + cropAspectList (109.)"
editpanel/crop_delete_custom,megvan,PicasaPy/EditorCropPanel.qml,"Egyéni képarány törlése: cropAspectDelete<index> (164. sor), megerősítéssel („Delete this custom aspect ratio?”, 186.)"
editpanel/cropsug_preview1,megvan,PicasaPy/EditorCropPanel.qml,"Vágás-javaslat 1: cropSuggestion0 (270. sor), a „Suggested crops” sorban (237.)"
editpanel/cropsug_preview2,megvan,PicasaPy/EditorCropPanel.qml,"Vágás-javaslat 2: cropSuggestion1 (271. sor)"
editpanel/cropsug_preview3,megvan,PicasaPy/EditorCropPanel.qml,"Vágás-javaslat 3: cropSuggestion2 (272. sor)"
editpanel/retouchtext,megvan,PicasaPy/EditorRetouchPanel.qml,"Retus-útmutató (56. sor), az eredeti szövegének megfelelő tartalommal"
editpanel/redeyetext,megvan,PicasaPy/EditorRedeyePanel.qml,"Vörösszem-útmutató (64. sor) + az automatikus javítás visszajelzése (79–80.)"
editpanel/retouch_label,megvan,PicasaPy/EditorRetouchPanel.qml,"„Retouch” fejléc (47. sor)"
editpanel/redeye_label,megvan,PicasaPy/EditorRedeyePanel.qml,"„Redeye” fejléc (55. sor)"
editpanel/filllight_icon,megvan,PicasaPy/EditorFinetunePanel.qml,"Derítőfény: SliderCaption „Fill Light” + finetuneFillSlider (105., 108. sor)"
editpanel/droppertoggle,megvan,PicasaPy/EditorFinetunePanel.qml,"Semleges színválasztó: finetuneNeutralPicker (208. sor), buboréksúgója az eredetiét követi („Pick a neutral gray or white area of the photo to…”, 211.)"
editpanel/faces_button,megvan,PicasaPy/PhotoViewer.qml,"Arcok megjelenítése/elrejtése: facesToggleButton (1490. sor), a facesVisible kapcsolóval (165–166.)"
editpanel/filter_name,megvan,PicasaPy/EditorParamPanel.qml,"Az aktív effekt neve: effectParamTitle (191. sor) a paraméter-panel fejlécében"
unknownfaceheaderpanel/ignore,megvan,PicasaPy/UnnamedFacesView.qml,"Kijelöltek mellőzése: ignoreFacesButton (117. sor), buboréksúgóval; a párja az unignoreFacesButton („Stop ignoring”, 109.)"
peoplepanel/manual_add,megvan,PicasaPy/UnnamedFacesView.qml;PicasaPy/FacesOverlay.qml,"Személy kézi hozzáadása: addNameButton („Add a name”, 128. sor); a gesztus-utasítás a FacesOverlay.qml:283-ban van hivatkozva"
