cim	fajta	lap	szakasz	sor	mit
0x00401000	függvény	kollazs-eletciklus.md	260. 51.2 A tizenegy hely, tételesen — mind SZTRING vagy MUTATÓ	5008	\| \`0x008300dc\` \| \`FUN_008300c0\` \| \`utasítás 0x401000\` → \`mov [edi],0\` \| ⛔ sztring elengedése \|
0x00401000	függvény	kollazs-eletciklus.md	260. 51.2 A tizenegy hely, tételesen — mind SZTRING vagy MUTATÓ	5015	\| \`0x00879d18\` \| \`FUN_00879d10\` \| \`utasítás edi,[esi+4]\` · két \`utasítás 0x401000\` \| ⛔ két szomszédos szt…
0x00401000	?	kollazs-eletciklus.md	303. 58.2 ⛳ És a `scale`-be KONSTANS kerül	5896	\`+0x30\` (téma) rekeszén ott áll a \`utasítás edi,[esp+…]\` → \`utasítás 0x401000\`
0x00401000	adat	kollazs-eletciklus.md	309. 59.2 ⭐ A HARMADIK út: a TAG-KARCOLÓ — és a beolvasó ezt használja	6049	→ \`utasítás 0x401000\`), ami a rekord eleji sztringmezőket hitelesíti.
0x00401000	?	picasa-tartalomkulcs.md	35. 6. A KÖVETKEZŐ lépés, megnevezve	657	(\`lea r,[obj+0x90]\` + \`utasítás 0x005c2100\`/\`0x00401000\` nyolc utasításon
0x00401000	?	picasa-tartalomkulcs.md	42. 6. Ami NYITVA marad — és a következő lépés	776	\`0x005c2100\`/\`0x00401000\`/\`0x0040eab0\`/\`0x0040ea90\` nyolc utasításon
0x00401000	?	picasa-tartalomkulcs.md	61. 2. ⛔ ÖNHELYESBÍTÉS: a 206. kör „7 találat"-a a SZŰRŐ műterméke volt	1075	(\`lea r,[obj+0x90]\` + \`utasítás 0x005c2100\`/\`0x00401000\` nyolc utasításon
0x00401000	?	picasa-tartalomkulcs.md	61. 2. ⛔ ÖNHELYESBÍTÉS: a 206. kör „7 találat"-a a SZŰRŐ műterméke volt	1079	\`utasítás 0x00401000\`-ként könyvelte, holott ott valójában
0x00401000	?	picasa-tartalomkulcs.md	74. 2. ⭐ És a `+0x90`-et a szokásos sztring-idiómával MÁSOLJA	1221	0x005a531d utasítás 0x00401000 ; a régi elengedése
0x00401000	?	picasa-tartalomkulcs.md	93. 1. Összevont eltolás: `lea R,[B+K]` … `mov [R+D], x`, ahol `K+D = 0x90`	1501	**Mérés** (\`.text\` = \`0x00401000\`–\`0x00c3f160\`, 8 642 912 bájt):
0x00401000	?	picasa-tartalomkulcs.md	94. 2. Melyik találat ír egyáltalán SZTRINGET?	1538	kell engedni a régit (\`utasítás 0x00401000\`).
0x00401000	?	picasa-tartalomkulcs.md	96. 4. A cím ÁTADÁSA hívásnak — a kétszintű alak	1584	elengedő \`0x00401000\`.
0x00401000	?	pmp-database.md	117. ⛔ KIMERÍTŐ NEGATÍV: a rést nem hívja senki `call [reg+0x0c]` alakban	3416	A teljes \`.text\`-et (8 642 912 bájt, \`0x00401000\`-tól) végigpásztáztam a
0x00401000	?	pmp-database.md	131. 11.5 ⛔ KIMERÍTŐ NEGATÍVOK — pontosan meghatározott hatókörrel	3719	Mindegyik a teljes \`.text\`-en (8 642 912 bájt, \`0x00401000\`-tól):
0x00401038	?	picasa-arcfelismeres.md	49. Az EGYETLEN kiolvasott paraméter-ötös	1264	A \`vfr_SowGrowStampClusterer\` (\`ClassId 0x401038\`) payloadja a verzió után
0x00401060	?	picasa-indulas.md	1. 1. A hívási lánc teteje	17	\| \`0x00401060\` \| a legkülső burkoló \|
0x004010e0	?	kollazs-eletciklus.md	347. 65.2 ⭐ MEGVAN a hiányzó láncszem: a vektor NÖVELÉSE	6667	0x0083e06b utasítás 0x4010e0 ; alap-ktorral MEGÉPÍTI
0x004010e0	?	kollazs-eletciklus.md	353. 66.2 ⭐ Mit tesz valójában a `FUN_008342b0`	6764	0x00834455 utasítás 0x4010e0 ; alap-ktorral megépít
0x004010e0	adat	picasa-tartalomkulcs.md	55. 3. ⭐ A HORGONY: a vektor-segédek kiadják az elem ktorát és dtorát	987	0x005a3414 utasítás 0x004010e0 ; tömb-konstruálás
0x004010e0	adat	picasa-tartalomkulcs.md	76. 4. ⭐ A vektor `push_back`-je: `FUN_007d53e0`	1251	0x007d54e0 utasítás 0x004010e0 ; az ÚJ tömb megkonstruálása
0x00401110	adat	kollazs-eletciklus.md	152. 32.3 ⭐ A PUSZTÍTÓ igazolja az elem-méretet: 56 bájt	3359	0x0062d024 utasítás 0x401110 ; tömb-lebontó
0x00401110	adat	picasa-tartalomkulcs.md	55. 3. ⭐ A HORGONY: a vektor-segédek kiadják az elem ktorát és dtorát	991	0x005a3467 utasítás 0x00401110 ; tömb-lebontás
0x00401110	adat	picasa-tartalomkulcs.md	76. 4. ⭐ A vektor `push_back`-je: `FUN_007d53e0`	1253	0x007d552b utasítás 0x00432270 ; 0x130 → 0x00401110 ; a régi tömb lebontása
0x004014c9	?	picasa-tartalomkulcs.md	93. 1. Összevont eltolás: `lea R,[B+K]` … `mov [R+D], x`, ahol `K+D = 0x90`	1526	\| \`0x80\`+\`0x10\` \| \`0x004014c9\`, \`0x007bd5ef\` \|
0x00401570	?	picasa-fo-ablak-elrendezes.md	31. 6. A húzható osztó kezelője — és a 240 MÁSODIK, független előfordulása	627	\| \`HSplitOffsetCreator::vftable\` \| \`0x0060cbd0\` · \`0x0040aa80\` · **\`0x009da130\`** · \`0x00401570\` \|
0x004017a2	?	picasa-tartalomkulcs.md	99. 1. A hasher mind a tíz hívási helyen VEREM-IDEIGLENESBE ír	1657	(tagváltozós) hely.
0x004018e0	konstans	00-index.md	32. [picasa-email-kuldes.md](picasa-email-kuldes.md) — 0 nyílt · 3 lezárva · 0 blokkolt (frissítve: 2026-09-05)	1285	⭐ **2026-09-03 (6.
0x004018e0	adat	picasa-email-kuldes.md	16. 6.2 A hozzáférés-készlet	384	\| \`0x004018e0\` \| 23 b \| kényelmi burkoló: \`(0, "Preferences", kulcs)\` \|
0x00401900	konstans	00-index.md	3. [ui-audit-editor.md](ui-audit-editor.md) — ✅ nincs nyitott kérdés (a #2061 2026-09-04-én LEZÁRULT; a fejléc 2026-09-05-ig elavult volt)	93	⭐ **2026-09-06 (16.
0x00401900	konstans	00-index.md	3. [ui-audit-editor.md](ui-audit-editor.md) — ✅ nincs nyitott kérdés (a #2061 2026-09-04-én LEZÁRULT; a fejléc 2026-09-05-ig elavult volt)	99	⭐ **2026-09-06 (13.
0x00401900	konstans	00-index.md	16. [picasa-arcfelismeres.md](picasa-arcfelismeres.md) — nincs nyitott kérdés (az `albumpeoplechecksum` képlete MEGVAN, 2026-09-05)	541	⭐ **2026-09-03 (15.
0x00401900	konstans	00-index.md	32. [picasa-email-kuldes.md](picasa-email-kuldes.md) — 0 nyílt · 3 lezárva · 0 blokkolt (frissítve: 2026-09-05)	1285	⭐ **2026-09-03 (6.
0x00401900	?	picasa-arcfelismeres.md	39. 15.3 MIT CSINÁLNAK — a három adat-válasz	1003	\`0x00401900\` (a beállítás-író) hívás — mechanikusan ellenőrizve.
0x00401900	?	picasa-create-features.md	26. 2.5/b A CMakeFaceMoviePanel működése — a „recompute" megerősítője (#1408)	2125	\| 6.
0x00401900	?	picasa-create-features.md	27. 2.5/c Az „Opciók" fül és a KLIPTÁLCA — MŰKÖDÉS (2026-09-02)	2261	\| 5.
0x00401900	?	picasa-create-features.md	35. 2.8/b A film FELBONTÁSA: hét tétel, két kulcs, két különböző alapérték (2026-09-15, 311. kör, #3155)	2892	(\`0x00616b2a\`) és egy ÍRÁS — a \`0x00619469\`-es \`SetPreference\` (\`0x00401900\`),
0x00401900	?	picasa-email-kuldes.md	16. 6.2 A hozzáférés-készlet	383	\| \`0x00401900\` \| 171 b \| **írás** \|
0x00401900	?	picasa-feltolteskezelo.md	4. 3. AZ EGYETLEN TARTÓS ÁLLAPOT: `Preferences\AutoBandwidthThrottle`	74	0x00917d1e utasítás 0x00401900 ; ÍRÁS
0x00401900	?	picasa-megjelenitesi-modok.md	24. 5.12 `ID_VIEW_COLOR_MANAGED` — Színkezelés használata (LEZÁRVA 2026-08-30, #1582)	628	\| hol tárolódik \| \`Preferences\EnableColorManagement\` (a \`SOFTWARE\Google\Picasa\Picasa2\Preferences\\` gyökéren…
0x00401900	?	picasa-menu-parancsok-viselkedes.md	345. 23.4 MIT csinál a kapcsoló — a tároló, a kulcs, az alapérték	5478	0x00851b98 utasítás 0x00401900 ; ÍRÁS
0x004019b0	konstans	00-index.md	3. [ui-audit-editor.md](ui-audit-editor.md) — ✅ nincs nyitott kérdés (a #2061 2026-09-04-én LEZÁRULT; a fejléc 2026-09-05-ig elavult volt)	93	⭐ **2026-09-06 (16.
0x004019b0	konstans	00-index.md	3. [ui-audit-editor.md](ui-audit-editor.md) — ✅ nincs nyitott kérdés (a #2061 2026-09-04-én LEZÁRULT; a fejléc 2026-09-05-ig elavult volt)	99	⭐ **2026-09-06 (13.
0x004019b0	konstans	00-index.md	32. [picasa-email-kuldes.md](picasa-email-kuldes.md) — 0 nyílt · 3 lezárva · 0 blokkolt (frissítve: 2026-09-05)	1285	⭐ **2026-09-03 (6.
0x004019b0	?	filterdesc-registry.md	68. Az írást KAPU védi	3372	0x005763e8 utasítás 0x004019b0 ; a beállítás-OLVASÓ
0x004019b0	?	filterdesc-registry.md	68. Az írást KAPU védi	3383	ágon fut le — és ugyanez az ág olvas be egy beállítást a \`0x004019b0\`-on
0x004019b0	?	filterdesc-registry.md	70. A függvény szerepe — kiolvasva	3415	0x005763e8 utasítás 0x004019b0 ; „maximalizált volt?" beállítás
0x004019b0	?	picasa-arcfelismeres.md	39. 15.3 MIT CSINÁLNAK — a három adat-válasz	992	0x006028cf utasítás 0x004019b0 ; kiolvasás
0x004019b0	adat	picasa-email-kuldes.md	15. 6.1 A tároló: a Windows-registry, `HKEY_CURRENT_USER` alatt	369	0x00541bf8 utasítás 0x004019b0 ; ÉRTÉK OLVASÁSA
0x004019b0	adat	picasa-email-kuldes.md	16. 6.2 A hozzáférés-készlet	382	\| \`0x004019b0\` \| 211 b \| **olvasás** (a tárolt érték, vagy az alapérték) \|
0x004019b0	?	picasa-email-kuldes.md	18. 6.4 A `choose_mail` párbeszéd — MIT ír, MIKOR	410	0x0074215d utasítás 0x004019b0 ; a DoNotPrompt kiolvasása
0x004019b0	?	picasa-email-kuldes.md	18. 6.4 A `choose_mail` párbeszéd — MIT ír, MIKOR	412	0x0074216e utasítás 0x004019b0 ; különben a tárolt EmailPrepType-ot adja vissza
0x004019b0	?	picasa-feltolteskezelo.md	4. 3. AZ EGYETLEN TARTÓS ÁLLAPOT: `Preferences\AutoBandwidthThrottle`	75	0x00917d25 utasítás 0x004019b0 ; azonnali visszaolvasás
0x004019b0	adat	picasa-linux-mod.md	11. `ShowUnixPaths` — Linuxon alapból BE	137	0x0073a1e2 utasítás 0x4019b0 ; sztring → logikai
0x004019b0	adat	picasa-mappakezelo.md	72. 16.2/b A hibakereső kiíratás TELJES működése — és a `badfiles.txt` (2026-09-02)	2387	0x004e9d0e utasítás 0x004019b0 ; → logikai érték
0x004019b0	adat	picasa-menu-parancsok-viselkedes.md	345. 23.4 MIT csinál a kapcsoló — a tároló, a kulcs, az alapérték	5489	\| honnan jön INDULÁSKOR \| \`0x008503d1\`–\`0x00850405\`: ugyanaz a kulcs, \`0x00407a20\` + \`0x004019b0\` (olvasás)…
0x004019b0	adat	ui-audit-mainwindow.md	31. A fanézet HÁROM beállítása és az alapértékük (2026-08-16)	750	utasítás 0x4019b0 ; sztring → logikai
0x004019b0	adat	ui-audit-mainwindow.md	31. A fanézet HÁROM beállítása és az alapértékük (2026-08-16)	753	Ha a registry-érték hiányzik vagy üres, a \`0x004019b0\` üres sztringet kap,
0x00401ac0	?	filterdesc-registry.md	133. 2. ⛔ ÖNHELYESBÍTÉS: a regiszter-globálisnak KÉT írója van, nem egy	5121	0x0053fef6 utasítás 0x00401ac0 ; alaposztály-ktor a két útvonallal
0x00401ac1	adat	filterdesc-registry.md	102. 5. ⚠️ Az `Invert` ellentmondása — a GÉPI oldal ezzel KIMERÜLT	4079	\| a beépített (nem XML-es) tábla útja \| ott a \`this+8\` a **regiszter**, amelynek a \`+4\`-e egy sztring-objektum…
0x00401fb0	?	filterdesc-registry.md	98. 1. `[0x00d67f68]` = a szűrő-regiszter, a `runtime\filterdesc.xml`-ből	3990	0x00405697 utasítás 0x00401fb0 ; ⇒ [0x00d67f68] = a regiszter
0x00401fc6	?	filterdesc-registry.md	129. 3. Ami ebben a körben MÉG megerősítést kapott	5039	\`0x00401fc6 mov [0xd67f68], esi\`) és a leszedője egyaránt **egyetlen**
0x00401fd1	függvény	filterdesc-registry.md	134. 3. További mérések ebből a körből	5140	- **A betöltő** (\`FUN_008fa470\`, hívói: \`0x00401fd1\` és \`0x0053ff26\`) a leírót
0x004021a0	?	filterdesc-registry.md	98. 1. `[0x00d67f68]` = a szűrő-regiszter, a `runtime\filterdesc.xml`-ből	3989	0x0040568c utasítás 0x004021a0 ; ctor(útvonalak) — vtable 0x00c7f724
0x00402960	?	picasa-indulas.md	1. 1. A hívási lánc teteje	18	\| \`0x00402960\` \| vékony burkoló, egyetlen hívása a parancssor-kezelő \|
0x00402a90	?	picasa-ini-format.md	103. A mechanizmus	3197	\| a kapcsoló \| \`Preferences\AlbumIniSync\`, **alapértelmezés 1** \| \`0x00402a90\` — az általános beállítás-olvasó…
0x00402f90	konstans	00-index.md	41. Felület — KÖTELEZŐ méretspecifikációk	1744	\| [picasa-fo-ablak-elrendezes.md](picasa-fo-ablak-elrendezes.md) \| A fő ablak elrendezése — a forrásból; **és a MEG…
0x00402f90	függvény	picasa-fo-ablak-elrendezes.md	15. Támogatott fájltípusok	322	\| **\`0x004183c0\`** (1390 b) \| 7 \| **indulási/adatbázis-ág**: \`Other Stuff\`, \`#db3\\`, \`dbVersion\`, \`RootPa…
0x00402f90	?	picasa-fo-ablak-elrendezes.md	15. Támogatott fájltípusok	354	0x00402f90 (gyűjtemény-/adatbázis-indulás)
0x00402f90	?	picasa-mappakezelo.md	52. 13.6 REJTETT MAPPÁK — két különböző fogalom (a 12.5 második fele)	1713	induláskor (\`0x004051b0\` → \`0x00402f90\` → \`0x004183c0\` → \`0x004e4ea0\`).
0x00402f90	?	picasa-mappakezelo.md	52. 13.6 REJTETT MAPPÁK — két különböző fogalom (a 12.5 második fele)	1763	**\`Hidden Folders\`** (\`0x00402f90\`, \`0x005ec130\`).
0x00402f90	?	picasa-menu-parancsok-viselkedes.md	53. 32.3 A „Mappa elrejtése" TÖBB, mint egy jelölő	894	6 hivatkozás: \`0x00402f90\`, \`0x004a1560\`, \`0x004a8b10\`, \`0x00537fb0\`,
0x00402f90	?	picasa-program-resources.md	14. 3.1 `filters.txt` — a mappa-beolvasás kizárási listája	277	(\`0x004051b0\` → \`0x00402f90\` → \`0x004183c0\` → \`0x004e4ea0\`).
0x00402f90	függvény	pmp-database.md	58. 3. A betöltő verzió-migrációt is végez	1612	A betöltő (\`0x0041ee10\`, hívója \`0x00402f90\`) három séma-verziókulcsot olvas
0x00402f90	?	pmp-database.md	86. 8.1 `thumbindex.db` — az útvonal-index (HELYESBÍTVE 2026-09-03)	2397	\`0x00402f90\` → \`0x004183c0\` → \`0x004e04a0\` → **\`0x004fadb0\`** →
0x00402fd3	?	pmp-database.md	130. 11.4 Hol él a példány	3710	(\`0x00402fd3\`, \`0x00467d1b\`, \`0x0053ff35\`).
0x00402fdc	?	pmp-database.md	130. 11.4 Hol él a példány	3712	**\`+0x1034\`** mezőjébe kerül (\`0x00402fdc\`).
0x00403640	függvény	picasa-bezaras-es-kilepes.md	19. Mellékes lelet: Wine-felismerés	426	A \`0x00403640\` a \`kernel32\`-ben a \`wine_get_unix_file_name\` függvényt keresi,
0x00403640	?	picasa-linux-mod.md	1. Hogyan ismeri fel, hogy Linuxon fut	18	hivatkozik: \`0x00403640\`, \`0x0040d3c0\`, \`0x004b1c80\`, \`0x005643e0\`,
0x00403640	?	picasa-menu-parancsok-viselkedes.md	204. 50.3 ⭐ A Picasa MAGA tudott a Wine-ról	3529	\| **\`wine_get_unix_file_name\`** (\`0x00403640\`, \`kernel32\`-ből feloldva) \| a bináris **futásidőben megkérdezi…
0x00403750	?	pmp-database.md	57. 2. A kiírás HÁROMFÉLE módon indul	1607	\| **tömörítéssel** \| \`0x0041b020\` (\`Always Compact\`), \`0x00403750\` (\`compactpercentage\`) \| a kiírás közben…
0x0040390d	?	picasa-tartalomkulcs.md	99. 1. A hasher mind a tíz hívási helyen VEREM-IDEIGLENESBE ír	1658	\`0x0040390d utasítás ecx,[edi + 0x8c]\`.
0x004039f0	?	picasa-elso-inditas.md	14. 6.6 Mi dönti el, MELYIK szövegkészlet jelenik meg (U2)	327	; a koordinátor (0x004039f0) hívása:
0x004039f0	?	picasa-lebego-ertesito.md	11. Az életciklus és az események — a hívási lánc végigjárva (2026-08-20)	249	0x004051b0 → 0x004039f0 → 0x0040bf70 → 0x00657300 (CNotifierPopup)
0x004039f0	?	picasa-lebego-ertesito.md	18. Módszertani megjegyzés	368	(\`0x004051b0 → 0x004039f0 → 0x0040bf70 → 0x00657300\`), tehát a következő kör
0x00403fc0	?	picasa-bezaras-es-kilepes.md	18. ✅ A főablak bezárása MEGSZÜNTETI a háttérszálakat	402	beállításkulcsot is (\`0x00403fc0\` induláskor, \`0x00404070\` kilépéskor) —
0x00404070	?	picasa-bezaras-es-kilepes.md	18. ✅ A főablak bezárása MEGSZÜNTETI a háttérszálakat	402	beállításkulcsot is (\`0x00403fc0\` induláskor, \`0x00404070\` kilépéskor) —
0x00404b99	függvény	ui-audit-mainwindow.md	58. ⛳ A háttérművelet-jelző: gazda, megszakítás és geometria (2026-09-14, 304. kör, #3112)	1285	állapotjelzés hívóhelyei \`0x00404b99\` és \`0x004197a1\`, a felület
0x00404b99	?	ui-audit-mainwindow.md	59. 1. Mit CSINÁL — a megszakítás valódi, nem látszat	1327	\| \`0\` \| \`0x00404b99\` (közvetlenül egy \`1,0\`-s haladás-hívás után) \| **indulás / megjelenés** \|
0x00404c30	?	picasa-menu-parancsok-viselkedes.md	360. 6. MI FUT LE UTÁNA	5724	burkolója a **\`0x00404c30\`** (\`utasítás 0xc7eb48\` = \`moving_database\`,
0x00404c30	függvény	picasa-menu-parancsok-viselkedes.md	362. 8. HONNAN JÖN INDULÁSKOR	5764	függvény hozza fel a \`moving_database\` folyamatjelzőt (\`0x00404c30\`), és a
0x00404c30	?	picasa-menu-parancsok-viselkedes.md	362. 8. HONNAN JÖN INDULÁSKOR	5768	⇒ A 295.
0x00404c30	?	picasa-menu-parancsok-viselkedes.md	365. Nyitott kérdések mérlege (295. → 308.)	5819	\`:2707\`; a binárisban \`0x00600983\`, \`0x00404c30\`–\`0x00404c4d\`.*
0x00404c4d	?	picasa-menu-parancsok-viselkedes.md	365. Nyitott kérdések mérlege (295. → 308.)	5819	\`:2707\`; a binárisban \`0x00600983\`, \`0x00404c30\`–\`0x00404c4d\`.*
0x00404d60	?	picasa-menu-parancsok-viselkedes.md	362. 8. HONNAN JÖN INDULÁSKOR	5761	**Az olvasó oldala** (\`0x00404d60\`-tól): \`0x00404db5 utasítás 0x00407b50\` →
0x00404d97	?	picasa-menu-parancsok-viselkedes.md	362. 8. HONNAN JÖN INDULÁSKOR	5751	\| \`0x00404d97\` \| az **OLVASÓ** — az indulási kód \|
0x00404d97	?	picasa-menu-parancsok-viselkedes.md	365. Nyitott kérdések mérlege (295. → 308.)	5815	\`0x007d1936\`, olvasó \`0x00404d97\`.
0x00404db5	?	picasa-menu-parancsok-viselkedes.md	362. 8. HONNAN JÖN INDULÁSKOR	5761	**Az olvasó oldala** (\`0x00404d60\`-tól): \`0x00404db5 utasítás 0x00407b50\` →
0x00404df0	?	picasa-menu-parancsok-viselkedes.md	362. 8. HONNAN JÖN INDULÁSKOR	5773	\`AppLocalDataPathCopy\` kulcsot.
0x00404fd3	?	picasa-menu-parancsok-viselkedes.md	362. 8. HONNAN JÖN INDULÁSKOR	5766	(\`0x00404fd3\` / \`0x00405007\` az elérés, \`0x00405025\` az írás).
0x00405007	?	picasa-menu-parancsok-viselkedes.md	362. 8. HONNAN JÖN INDULÁSKOR	5766	(\`0x00404fd3\` / \`0x00405007\` az elérés, \`0x00405025\` az írás).
0x00405025	?	picasa-menu-parancsok-viselkedes.md	362. 8. HONNAN JÖN INDULÁSKOR	5766	(\`0x00404fd3\` / \`0x00405007\` az elérés, \`0x00405025\` az írás).
0x00405161	adat	picasa-menu-parancsok-viselkedes.md	362. 8. HONNAN JÖN INDULÁSKOR	5762	\`test al, al\` → \`je 0x00405161\`, azaz **ha a kulcs nincs beállítva, az
0x00405170	?	picasa-menu-parancsok-viselkedes.md	362. 8. HONNAN JÖN INDULÁSKOR	5773	\`AppLocalDataPathCopy\` kulcsot.
0x004051b0	függvény	filterdesc-registry.md	11. 4.1/c A `PicnikFocalPixelate` teljes műveletgráfja (`filterdesc.xml:859–886`)	360	\`runtime\picnik_effects\\` könyvtárra (\`0x00c7f168\`, hívók: \`0x004051b0\`,
0x004051b0	függvény	picasa-bezaras-es-kilepes.md	18. ✅ A főablak bezárása MEGSZÜNTETI a háttérszálakat	400	**2.
0x004051b0	?	picasa-indulas.md	(dokumentum eleje)	11	\`0x004051b0\` diszasszemblálása kell.*
0x004051b0	?	picasa-indulas.md	1. 1. A hívási lánc teteje	20	\| \`0x004051b0\` \| **az indulási mag** — a lenti lépések döntő része itt van \|
0x004051b0	?	picasa-indulas.md	3. 3. Az indulási mag lépései (`0x004051b0`)	40	## 3.
0x004051b0	?	picasa-indulas.md	12. 6. Nyitott kérdés	120	tematikus, nem időrendi.
0x004051b0	?	picasa-indulas.md	12. 6. Nyitott kérdés	121	kell diszasszemblálnia (\`annot_disasm.py 0x004051b0 <méret>\`).
0x004051b0	?	picasa-lebego-ertesito.md	11. Az életciklus és az események — a hívási lánc végigjárva (2026-08-20)	249	0x004051b0 → 0x004039f0 → 0x0040bf70 → 0x00657300 (CNotifierPopup)
0x004051b0	?	picasa-lebego-ertesito.md	18. Módszertani megjegyzés	368	(\`0x004051b0 → 0x004039f0 → 0x0040bf70 → 0x00657300\`), tehát a következő kör
0x004051b0	?	picasa-mappakezelo.md	52. 13.6 REJTETT MAPPÁK — két különböző fogalom (a 12.5 második fele)	1713	induláskor (\`0x004051b0\` → \`0x00402f90\` → \`0x004183c0\` → \`0x004e4ea0\`).
0x004051b0	?	picasa-program-resources.md	14. 3.1 `filters.txt` — a mappa-beolvasás kizárási listája	277	(\`0x004051b0\` → \`0x00402f90\` → \`0x004183c0\` → \`0x004e4ea0\`).
0x00405615	?	filterdesc-registry.md	98. 1. `[0x00d67f68]` = a szűrő-regiszter, a `runtime\filterdesc.xml`-ből	3985	0x00405615 utasítás eax, 0x00c7f150 ; "runtime\filterdesc.xml"
0x00405615	?	filterdesc-registry.md	124. 4. Az ellentmondás — élesen kimondva	4968	⇒ **A cáfolható elem a 3.** A \`0x00405615\`-nél a program a
0x0040563c	?	filterdesc-registry.md	98. 1. `[0x00d67f68]` = a szűrő-regiszter, a `runtime\filterdesc.xml`-ből	3986	0x0040563c utasítás eax, 0x00c7f168 ; "runtime\picnik_effects\"
0x0040566c	?	filterdesc-registry.md	98. 1. `[0x00d67f68]` = a szűrő-regiszter, a `runtime\filterdesc.xml`-ből	3987	0x0040566c utasítás 0x146c
0x00405671	?	filterdesc-registry.md	98. 1. `[0x00d67f68]` = a szűrő-regiszter, a `runtime\filterdesc.xml`-ből	3988	0x00405671 utasítás 0x0097c5d0 ; operator new(0x146c)
0x0040568c	?	filterdesc-registry.md	98. 1. `[0x00d67f68]` = a szűrő-regiszter, a `runtime\filterdesc.xml`-ből	3989	0x0040568c utasítás 0x004021a0 ; ctor(útvonalak) — vtable 0x00c7f724
